year,auc_score,pr_auc,train_size,test_size,test_positives,test_samples
2015-01-01,0.7581249484195758,0.15404115056435347,251876,25981,7.0,25972
2015-02-01,0.7783148643484906,0.17119514023764237,254021,26186,6.0,26176
2015-03-01,0.8591834414969337,0.29349898769406335,256135,26409,7.0,26400
2015-04-01,0.908663785002819,0.2565455328353236,258266,26621,8.0,26613
2015-05-01,0.9372666865760788,0.26036717400654197,260390,26807,8.0,26796
2015-06-01,0.8692036776154817,0.2057362050180887,262525,26994,10.0,26984
2015-07-01,0.8772018097178248,0.2243801148352491,264690,27182,9.0,27171
2015-08-01,0.8747677849415365,0.20373282661292447,266794,27475,10.0,27463
2015-09-01,0.8540657128477964,0.20152843750635424,268847,27841,10.0,27828
2015-10-01,0.8268032042602831,0.1835192745120745,271010,28156,11.0,28144
2015-11-01,0.8328183387180957,0.09367907765199358,273222,28415,11.0,28402
2015-12-01,0.8238995028698497,0.06872441805711094,275513,28658,15.0,28646
2016-01-01,0.8193800735447165,0.053102264830237195,277857,28856,20.0,28846
2016-02-01,0.8438110590074247,0.04522761752913683,280207,29035,24.0,29026
2016-03-01,0.7961060596578124,0.0027452671767596404,282544,29210,23.0,29201
2016-04-01,0.7639250548776629,0.07582603312425447,284887,29388,28.0,29379
2016-05-01,0.7315069883921621,0.10331832974833885,287197,29584,30.0,29579
2016-06-01,0.7275590460174639,0.10590118292923942,289519,29870,29.0,29864
2016-07-01,0.6996809048139682,0.12697470737633682,291872,30220,32.0,30215
2016-08-01,0.658606423070621,0.12705608238716662,294269,30551,32.0,30547
2016-09-01,0.6580230880230881,0.14057188839060236,296688,30841,36.0,30836
2016-10-01,0.6637261820748059,0.14856499867812478,299166,31220,41.0,31215
2016-11-01,0.7061380912103988,0.22068876115035418,301637,31612,46.0,31608
2016-12-01,0.7035317658829415,0.20334717869148664,304171,32038,50.0,32034
2017-01-01,0.6901729511231793,0.23224432803586786,306713,32461,48.0,32456
2017-02-01,0.6549925643692349,0.23657728676301099,309242,32887,47.0,32882
2017-03-01,0.6226211957175508,0.22268439426943418,311754,33307,50.0,33302
2017-04-01,0.6945485209541605,0.22722037209356802,314275,33694,49.0,33689
2017-05-01,0.6962908911250841,0.20845285835008603,316781,34092,49.0,34086
2017-06-01,0.7279282277190592,0.22495563736716942,319389,34482,55.0,34477
2017-07-01,0.7448939983817472,0.23618229253298878,322092,34819,57.0,34814
2017-08-01,0.7430341320887169,0.23991032584848876,324820,35203,60.0,35198
2017-09-01,0.742161760751196,0.23569340871260852,327529,35615,57.0,35612
2017-10-01,0.7091992131440052,0.249524470719794,330386,35932,61.0,35929
